N,Diff,prevalence,p_error
44,1,0.0001,0.004390553230435801
44,1,0.0005,0.021765147049390254
44,1,0.001,0.043067109327987074
44,1,0.005,0.19792394202823616
44,1,0.01,0.35738839791528154
44,1,0.05,0.8953260452767448
45,1,0.0001,0.004490114175112692
45,1,0.0005,0.022254264475865537
45,1,0.001,0.044024042218659076
45,1,0.005,0.20193432231809494
45,1,0.01,0.36381451393612874
45,1,0.05,0.9005597430129075
46,1,0.0001,0.004589665163695189
46,1,0.0005,0.02274313734362765
46,1,0.001,0.044980018176440484
46,1,0.005,0.20592465070650445
46,1,0.01,0.3701763687967675
46,1,0.05,0.9055317558622622
47,1,0.0001,0.00468920619717883
47,1,0.0005,0.02323176577495578
47,1,0.001,0.04593503815826405
47,1,0.005,0.20989502745297195
47,1,0.01,0.3764746051087998
47,1,0.05,0.9102551680691491
48,1,0.0001,0.004788737276559152
48,1,0.0005,0.023720149892068387
48,1,0.001,0.046889103120105746
48,1,0.005,0.21384555231570712
48,1,0.01,0.3827098590577118
48,1,0.05,0.9147424096656915
49,1,0.0001,0.004888258402831469
49,1,0.0005,0.024208289817122308
49,1,0.001,0.04784221401698563
49,1,0.005,0.21777632455412854
49,1,0.01,0.38888276046713466
49,1,0.05,0.919005289182407
50,1,0.0001,0.004987769576991208
50,1,0.0005,0.024696185672213766
50,1,0.001,0.04879437180296864
50,1,0.005,0.2216874429313579
50,1,0.01,0.3949939328624633
50,1,0.05,0.9230550247232867
51,1,0.0001,0.005087270800033461
51,1,0.0005,0.025183837579377588
51,1,0.001,0.0497455774311657
51,1,0.005,0.2255790057167011
51,1,0.01,0.4010439935338387
51,1,0.05,0.9269022734871223
52,1,0.0001,0.0051867620729534325
52,1,0.0005,0.025671245660587982
52,1,0.001,0.050695831853734497
52,1,0.005,0.22945111068811763
52,1,0.01,0.40703355359850035
52,1,0.05,0.9305571598127662
53,1,0.0001,0.005286243396746215
53,1,0.0005,0.02615841003775765
53,1,0.001,0.05164513602188081
53,1,0.005,0.2333038551346771
53,1,0.01,0.41296321806251535
53,1,0.05,0.934029301822128
54,1,0.0001,0.005385714772406458
54,1,0.0005,0.02664533083273879
54,1,0.001,0.05259349088585885
54,1,0.005,0.23713733585900365
54,1,0.01,0.4188335858818901
54,1,0.05,0.9373278367310215
55,1,0.0001,0.005485176200929254
55,1,0.0005,0.02713200816732242
55,1,0.001,0.05354089739497303
55,1,0.005,0.24095164917970868
55,1,0.01,0.4246452500230712
55,1,0.05,0.9404614448944704
56,1,0.0001,0.00558462768330914
56,1,0.0005,0.02761844216323872
56,1,0.001,0.05448735649757808
56,1,0.005,0.24474689093381008
56,1,0.01,0.4303987975228405
56,1,0.05,0.943438372649747
57,1,0.0001,0.005684069220540877
57,1,0.0005,0.02810463294215715
57,1,0.001,0.055432869141080476
